_id,section,rules[0],rules[1],rules[2],rules[3],rules[4],rules[5],rules[6],rules[7],rules[8],rules[9],rules[10],rules[11],rules[12],rules[13],rules[14],rules[15],rules[16],rules[17],rules[18],rules[19],rules[20],rules[21],rules[22],rules[23],rules[24],rules[25],rules[26],rules[27],rules[28],rules[29],rules[30],rules[31],rules[32],rules[33],rules[34],rules[35],rules[36],rules[37],page_number,source
68dd20d6212869e0f7e3047c,2. outside built-up areas,a) for,aa) Motor vehicles with a maximum permissible mass,"exceeding 3.5 t but not exceeding 7.5 t, excluding passenger","cars,","bb) Passenger car with trailer,",cc) Trucks and motor homes up to a maximum permissible,mass of 3.5 t with trailer and,"dd) Buses, including those with luggage trailers,","80 km/h,",b) for,aa) Motor vehicles with a maximum permissible mass,"exceeding 7.5 t,","bb) all motor vehicles with trailers, except passenger cars,","lorries and mobile homes, each up to a maximum","permissible mass of 3.5 t, and",cc) Buses with passengers for whom there are no more seats,"available,","60 km/h,",c) 1,100 km/h for passenger cars and other motor vehicles with a maximum,permissible mass of up to 3.5 t . 2 This speed limit does not apply on,motorways (sign 330.1 ) or on other roads with single-way carriageways,separated by central reservations or other structural features. 3 It also,does not apply to roads with at least two lanes in each direction marked,,,,,,,,,,,,,,,4,road_traffic_rules.pdf
68dd20d6212869e0f7e3047d,by lane markings (sign 295 ) or by line markers (sign 340 ).,(4) The maximum permissible speed for motor vehicles fitted with snow chains shall be,"50 km/h, even under the most favourable conditions.",4 Distance,"1 The distance to a vehicle in front must, as a rule, be sufficient to allow the driver to",stay behind it even if the vehicle brakes suddenly. 2 A vehicle in front may not brake,sharply without a compelling reason.,"(2) 1 Anyone driving a motor vehicle subject to a special speed limit, as well as a vehicle","in a train longer than 7 metres, must, outside built-up areas, maintain a sufficient",distance from the motor vehicle in front to allow an overtaking motor vehicle to pull,in. 2 This does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,road_traffic_rules.pdf
68dd20d6212869e0f7e3047e,on routes where overtaking is prohibited.,(3) Any person driving a lorry with a maximum permissible mass exceeding 3.5 tonnes or,"a bus or coach shall, on motorways and at a speed exceeding 50 km/h, maintain a",minimum distance of 50 metres from vehicles in front.,5 Overtaking,(1) Overtaking must be done on the left.,(2) 1 Overtaking may only be carried out by a person who can ensure that no obstruction,"of oncoming traffic is caused during the entire overtaking maneuver. 2 Furthermore,",overtaking may only be carried out by a person traveling at a significantly higher speed,than the vehicle being overtaken.,(3) Overtaking is not permitted:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,road_traffic_rules.pdf
68dd20d6212869e0f7e3047f,(3a) Any person driving a motor vehicle with a maximum permissible mass exceeding,"7.5 tonnes shall not overtake if visibility is less than 50 metres due to fog, snowfall or","rain, without prejudice to other overtaking prohibitions.",(4) 1 Anyone who intends to overtake must behave in such a way that there is no danger,"to following traffic. 2 When overtaking, a sufficient lateral distance from other road","users must be maintained. 3 When overtaking pedestrians, cyclists and drivers of small","electric vehicles with motor vehicles, the sufficient lateral distance is at least 1.5 m in",built-up areas and at least 2 m outside built-up areas. 4 Sentence 3 does not apply,at intersections and junctions if cyclists have overtaken waiting motor vehicles on the,right in accordance with paragraph 8 or have come to a standstill next to,them. 5 Anyone overtaking must move back into the right-hand lane as soon as,possible. 6 Anyone overtaking must not obstruct the person being overtaken.,(4a) Pulling out to overtake and re-entering the lane must be announced clearly and in,good time; The direction indicators must be used.,"(5) 1 Outside built-up areas, overtaking may be announced by short acoustic or","illuminated signals. 2 When flashing the high beam, oncoming drivers must not be",dazzled.,(6) 1 Anyone being overtaken must not increase their speed. 2 Anyone driving a slower,"vehicle must reduce their speed at an appropriate location, waiting if necessary, if this",is the only way for several vehicles immediately following to overtake. 3 Suitable hard,shoulders can also be used for this purpose; This does not apply on motorways.,(7) 1 Anyone who announces their intention to turn left and has positioned themselves,must be overtaken on the right. 2 Rail vehicles must be overtaken on the,right. 3 Only those who cannot do so because the tracks are too far to the right may,"overtake on the left. 4 On single-way carriageways, rail vehicles may also be overtaken",on the left.,"(8) If there is sufficient space, cyclists and moped riders may overtake vehicles waiting",in the right-hand lane on the right at moderate speed and with particular caution.,6 Passing,"Anyone wishing to pass on the left at a narrowing of the road, an obstacle in the","roadway, or a stopped vehicle must allow oncoming vehicles to pass. 2 Sentence 1","does not apply if priority is otherwise regulated by traffic signs (signs 208 , 308 ). 3 If it is","necessary to pull out, pay attention to the following traffic and announce the pull out",and the re-entering the lane – as when overtaking.,,,,,,6,road_traffic_rules.pdf
68dd20d6212869e0f7e30480,7 Use of lanes by motor vehicles,"(1) 1 On carriageways with multiple lanes in one direction, motor vehicles may deviate","from the requirement to keep as far to the right as possible (Section 2, Paragraph 2) if",traffic density justifies this. 2 A lane is the part of a carriageway required by a multi-lane,vehicle to travel unhindered along the carriageway.,(2) If traffic is so dense that queues of vehicles have formed in the lanes in one,"direction, the right may be driven faster than the left.",(2a) If a queue of vehicles is stationary or moving slowly in the left-hand lane of the,"carriageway in one direction, vehicles may overtake it on the right at a slightly higher",speed and with extreme caution.,(3) 1 Within built-up areas - except on motorways (sign 330.1 ) - motor vehicles with a,maximum permissible mass of up to 3.5 tonnes may freely choose the lane on,"carriageways with several lanes marked for one direction (signs 296 or 340 ), even if the","conditions of paragraph 1, sentence 1 are not met. 2 In that case , driving on the right",may be faster than driving on the left.,(3a) 1 If a carriageway has a total of three lanes marked by guidelines (sign 340 ) for both,"directions , then the left lane reserved for oncoming traffic and the middle lane may not",be used for overtaking. 2 The same applies to carriageways where a total of five lanes,"are marked by guidelines (sign 340 ) for both directions, namely the two left lanes",reserved for oncoming traffic and the middle lane. 3 If there are a total of three or five,"lanes for both directions, anyone wishing to turn left may keep to the middle lane in the",direction of travel.,"(3b) 1On two-way carriageways with four lanes marked by guidelines (sign 340 ), the two",lanes to the left in the direction of travel are reserved exclusively for oncoming,traffic; They may not be used for overtaking. 2 The same applies to the three left-hand,lanes in the direction of travel on six-lane carriageways.,"(3c) 1 Where, outside built-up areas, three lanes in one direction are marked with","sign 340 , motor vehicles may, notwithstanding the requirement to drive as far to the","right as possible, use the middle lane continuously wherever a vehicle is stopped or","moving to the right, even if only occasionally. 2 The same applies to the second lane",from the right on carriageways with more than three lanes in one direction marked in,"this way. 3 Outside built-up areas, lorries with a maximum permissible mass exceeding",3.5 tonnes and all motor vehicles with trailers may only use the left-hand lane if they are,in position there for the purpose of turning left.,"(4) If, on roads with several lanes in one direction, it is not possible to drive continuously","in one lane or if a lane ends, the vehicles prevented from continuing shall be allowed to",move to the adjacent lane in such a way that these vehicles can alternately position,,,7,road_traffic_rules.pdf
68dd20d6212869e0f7e30481,themselves behind a vehicle driving in the continuous lane immediately before the,narrowing begins (zipper system).,"(5) 1 In all cases, a lane change may only be made if there is no danger to other road",users. 2 Every lane change must be announced clearly and in a timely manner; The,direction indicators must be used.,"7a Outgoing lanes, merging and exiting lanes","(1) Where lanes diverge from the continuous carriageway, particularly on motorways","and dual carriageways, it is permissible to drive faster than on the continuous",carriageway when turning from the beginning of a wide guide line (sign 340 ) to the right,of the line.,"(2) On motorways and other roads outside built-up areas, speed may be increased in",merging lanes than in the continuous lanes.,(3) 1 Driving speed on exit lanes shall not exceed that on the continuous lanes. 2 If,"traffic is slow or at a standstill in the continuous lanes, overtaking may be performed on",the exit lane at moderate speed and with particular caution.,8 Right of way,"1 At intersections and junctions, the right of way shall be given to those approaching",from the right. 2 This shall not apply,,,,,,,,,,,,,,,,,,,,,,8,road_traffic_rules.pdf
68dd20d6212869e0f7e30482,if the right of way is specifically regulated by traffic signs,"(signs 205 , 206 , 301 , 306 ) or",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,road_traffic_rules.pdf
68dd20d6212869e0f7e30483,for vehicles coming from a field or forest path onto another road.,(1a) 1 If sign 215 (Roundabout) is located below sign 205 (Give Way) at the junction with,"a roundabout , traffic on the circular carriageway has priority. 2 When entering such a","roundabout, the use of direction indicators is prohibited.",(2) 1 A vehicle having right of way must make it clear in good time by its driving,"behaviour, in particular by driving at moderate speed, that it is waiting. 2 A vehicle may",only proceed if it can be seen that the vehicle having right of way is neither endangered,"nor significantly hindered. 3 If this cannot be seen because the road section is unclear,",the vehicle may carefully feel its way into the intersection or junction until it has a clear,view. 4 A vehicle having right of way must not be significantly hindered by the vehicle,"having right of way, even when turning into the other road.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,road_traffic_rules.pdf
68dd20d6212869e0f7e30484,"9 Turning, reversing and reversing",1Anyone wishing to turn must announce this clearly and in good time; The direction,indicators must be used. 2 A driver wishing to turn right must position his vehicle as far,to the right as possible; a driver wishing to turn left must position his vehicle as far to the,"middle as possible; on single-way carriageways, he must position himself as far to the","left as possible, and in good time. 3 A driver wishing to turn left may only position",himself on longitudinally laid tracks if no other rail vehicles are obstructed. 4 Before,"merging and again before turning, pay attention to the traffic behind you; It is not",necessary before turning if there is no danger to following traffic.,(2) 1 A cyclist turning left does not need to change lane if they are crossing the,carriageway beyond the intersection or junction from the right-hand side of the,"carriageway. 2 When crossing, vehicle traffic from both directions must be",observed. 3 A cyclist turning over a cycle path must follow it in the intersection or,junction area.,"wishing to turn must allow oncoming vehicles, including rail vehicles, bicycles with","auxiliary motors, bicycles, and small electric vehicles, to pass, even if they are traveling",on or alongside the carriageway in the same direction. 2 This also applies to buses and,other vehicles using designated lanes. 3 Pedestrians must be given special,"consideration; if necessary, wait.",(4) 1 A vehicle intending to turn left must allow oncoming vehicles intending to turn right,"to pass. 2 Oncoming vehicles intending to turn left must turn in front of each other,",unless the traffic situation or the design of the intersection requires that the vehicles do,not turn until they have passed each other.,(5) Anyone driving a vehicle must also behave in such a way when turning into a,"property, turning around and reversing that there is no danger to other road users; If","necessary, you must be admitted.",(6) Anyone driving a motor vehicle with a maximum permissible mass exceeding 3.5,tonnes in an urban area must drive at walking pace when turning right if there is likely to,be cyclists travelling straight ahead on or beside the carriageway or pedestrians,crossing the carriageway in the immediate vicinity of the turn.,10 Entry and start-up,"Anyone wishing to enter the road from a property, from a pedestrian zone","(signs 242.1 and 242.2 ), from a traffic-calmed area (signs 325.1 and 325.2 ) or from",other parts of the road or over a lowered notch onto the carriageway or approaching,,,,,,9,road_traffic_rules.pdf
68dd20d6212869e0f7e30485,from the edge of the carriageway must do so in such a way as to exclude any danger to,"other road users; If necessary, you must be admitted. 2 The intention to enter or depart",must be announced clearly and in good time; The direction indicators must be,"used. 3 Where clarification is necessary, sign 205 may be used.",11 Special traffic situations,"(1) If traffic is at a standstill, no one shall enter the intersection or junction if it would","require waiting, despite the right of way or the green light signal.",(2) As soon as vehicles on motorways and on roads outside built-up areas with at least,two lanes in one direction are travelling at walking pace or when the vehicles are,"stationary, these vehicles must form a clear lane between the leftmost lane and the",lane immediately to the right of it for the passage of police and emergency vehicles.,(3) Even those who are otherwise permitted to continue driving according to traffic,regulations or who otherwise have priority must refrain from doing so if the traffic,situation requires it; One can only rely on a waiver if one has reached an agreement with,the person waiving the right.,12 Stopping and Parking,(1) Holding is not permitted,,,,,,,,,,,,,,,,,,,,,,,10,road_traffic_rules.pdf
68dd20d6212869e0f7e30486,in front of and in officially marked fire service access roads.,(2) Anyone who leaves their vehicle or stops for more than three minutes is considered,to be parking.,(3) Parking is prohibited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,road_traffic_rules.pdf
68dd20d6212869e0f7e30487,before and after intersections and junctions up to 5 m from the intersection of,"the road edges, provided that a cycle path is constructed to the right of the",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,road_traffic_rules.pdf
68dd20d6212869e0f7e30488,"road in the direction of travel, before intersections and junctions up to 8 m","from the intersection of the road edges,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,road_traffic_rules.pdf
68dd20d6212869e0f7e30489,"in front of property entrances and exits, and on narrow roadways also","opposite them,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,road_traffic_rules.pdf
68dd20d6212869e0f7e3048a,above manhole covers and other closures where parking on pavements is,"permitted by sign 315 or a parking space marking ( Annex 2 number 74),",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,road_traffic_rules.pdf
68dd20d6212869e0f7e3048b,in front of curb cuts.,(3a) 1 Motor vehicles with a maximum permissible mass exceeding 7.5 t and trailers,with a maximum permissible mass exceeding 2 t are not permitted to drive within built-,up areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,road_traffic_rules.pdf
68dd20d6212869e0f7e3048c,in clinical areas,"Regular parking is prohibited between 10 p.m. and 6 a.m., as well as on Sundays and",public holidays. 2 This does not apply to designated parking spaces or to the parking of,scheduled buses at terminal stops.,(3b) 1 Motor vehicle trailers without a towing vehicle may not be parked for longer than,two weeks. 2 This does not apply to designated parking spaces.,"(4) 1 For parking, the right-hand shoulder, including parking lanes along the carriageway,","shall be used if it is sufficiently paved; otherwise, the right-hand edge of the carriageway","shall be used. 2 This usually also applies if you just want to hold on; In any case, you","must stay on the right side of the road. 3 Taxis may, if traffic conditions permit, let",passengers board or disembark next to other vehicles stopped or parked on the hard,"shoulder or on the right side of the road. 4 Where there are tracks on the right, and in","one-way streets (sign 220 ), you may stop and park on the left. 5 Stopping is not",permitted in the carriageway of rail vehicles.,,,,,,,,,,,,,,,,,,,,,,,,,,11,road_traffic_rules.pdf
68dd20d6212869e0f7e3048d,"(4a) If parking on the sidewalk is permitted, only the right sidewalk may be used, or in","one-way streets, the right or left sidewalk.","(5) 1At a parking space, the person who reaches it first has priority; The right of way is",maintained if the authorized person drives past the parking space to reverse into it or if,additional driving movements are made to enter the parking space. 2 Sentence 1,applies accordingly if waiting in a parking space that becomes available.,(6) It is space-saving to park; This usually also applies to holding.,13 Facilities for monitoring parking time,"(1) 1 Parking at parking meters is permitted only while the meter is running, and at ticket","machines only with a parking ticket, which must be clearly legible from the outside of","the vehicle, for the duration of the permitted parking time. 2 If a parking meter or ticket","machine is not functioning, parking may only be permitted for the maximum parking","time specified. 3 In this case, the parking disc must be used (paragraph 2, sentence 1,",number 2). 4 Parking time regulations may be limited to specific hours or days.,"(2) 1 If , in the area of a restricted stopping prohibition for a zone (signs 290.1 and 290.2 )",or a parking management zone (signs 314.1 and 314.2 ) or in the case of,"signs 314 or 315 , the use of a parking disc (Figure 318 ) is prescribed by an additional","sign , stopping and parking is only permitted",,,,,,,,,,,,,,,,,,,,,,12,road_traffic_rules.pdf
68dd20d6212869e0f7e3048e,provided that the vehicle has a parking disc that is clearly legible from the,outside and the pointer on the disc is set to the half-hour mark following the,time of stopping.,2 If parking meters or ticket machines are installed in a restricted stopping zone or,"parking management zone, their instructions apply. 3 Otherwise, the regulations",regarding stopping and parking prohibitions remain unaffected.,(3) 1 The devices for monitoring parking time referred to in paragraphs 1 and 2 need not,be activated if payment of parking fees and monitoring of parking time can also be,"ensured by electronic devices or devices, in particular pocket parking meters or mobile",phones. 2 Sentence 1 shall not apply if an electronic device or device referred to therein,is not functional.,(4) Facilities and devices for monitoring the parking time need not be activated,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,road_traffic_rules.pdf
68dd20d6212869e0f7e3048f,for loading or unloading.,(5) 1 Anyone driving an electrically powered vehicle within the meaning of the,Electromobility Act or a car-sharing vehicle within the meaning of the Car-Sharing Act,and the corresponding state regulations need not operate devices and equipment for,"monitoring parking times, insofar as this is ordered by priority-giving additional signs to","signs 290.1 , 314 , 314.1 or 315. 2 If parking meters or ticket machines are installed","within the area of application of an order within the meaning of sentence 1, their","instructions apply. 3 Otherwise, the provisions on stopping and parking prohibitions",remain unaffected.,14 Duty of care when boarding and disembarking,(1) Anyone boarding or alighting a vehicle must behave in such a way as to exclude any,danger to other road users.,(2) 1 Anyone driving a vehicle must take the necessary measures to avoid accidents or,traffic disruptions when leaving the vehicle. 2 Motor vehicles must also be secured,against unauthorized use.,15 Breakdown of vehicles,If a multi-lane vehicle stops in a location where it cannot be recognized as a stationary,"obstacle in time, the hazard warning lights must be activated immediately. 2 According","to this, at least one conspicuous warning sign must be placed in a clearly visible","position at a sufficient distance, approximately 100 meters in the case of fast-moving","traffic; Prescribed safety devices, such as warning triangles, must be","used. 3 In addition, the regulations regarding the lighting of stationary vehicles apply.",15a Towing of vehicles,"(1) When towing a vehicle that has broken down on the motorway, the motorway",must be left at the next exit (sign 330.1 ).,"(2) When towing a vehicle that has broken down outside the motorway, it is not",permitted to enter the motorway (sign 330.1 ).,"(3) During towing, both vehicles must switch on their hazard warning lights.",,,,,,,,,,,,13,road_traffic_rules.pdf
68dd20d6212869e0f7e30490,(4) Motorcycles may not be towed.,16 Warning signs,(1) Acoustic and illuminated signals may only be given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,road_traffic_rules.pdf
68dd20d6212869e0f7e30491,who sees themselves or others at risk.,(2) 1 Anyone driving a scheduled service bus or a marked school bus must switch on,their hazard warning lights when approaching a stop and as long as passengers are,"boarding or alighting, insofar as the authority responsible for road traffic under state law",(road traffic authority) has ordered such behaviour for certain stops. 2 Apart from when,"the vehicle breaks down (Section 15 ) and when vehicles are being towed (Section 15a ),",hazard warning lights may only be switched on by a person who endangers others with,"their vehicle or who wants to warn others of dangers, for example when approaching a",traffic jam or when driving at a particularly slow speed on motorways and other fast-,moving roads.,(3) Acoustic signals shall not consist of a sequence of tones of different pitches.,"(4) Acoustic vehicle warning systems within the meaning of Article 3, sentence 2, point","22, Article 8 and Annex VIII to Regulation (EU) No 540/2014 of the European Parliament",and of the Council of 16 April 2014 on the sound level of motor vehicles and of,"replacement silencing systems, amending Directive 2007/46/EC and repealing Directive","70/157/EEC ( OJ L 158, 27.5.2014, p. 131 ), as amended, shall not be considered",acoustic signals within the meaning of paragraphs 1 and 3.,17 Lighting,"(1) 1 During twilight, darkness, or when visibility conditions otherwise require it, the",prescribed lighting equipment must be used. 2 The lighting equipment must not be,obscured or dirty.,(2) 1 Driving with position lights (parking lights) alone is not permitted. 2 Driving with,"high beams is also not permitted on roads with continuous, adequate",lighting. 3 Headlights must be dipped in good time if an oncoming vehicle or a vehicle is,"traveling close ahead, or if otherwise required for the safety of traffic on or beside the","road. 4 If necessary, drive accordingly.",,,,,,,,,,,,,,14,road_traffic_rules.pdf
68dd20d6212869e0f7e30492,(2a) 1 Anyone driving a motorcycle must also ride with dipped headlights or daytime,running lights switched on during the day. 2 Dipped headlights must be switched on,"during twilight, darkness, or when visibility conditions otherwise require it.","(3) 1 If fog, snowfall, or rain significantly impairs visibility, dipped headlights must be",used even during the day. 2 Fog lights may only be switched on in such weather,"conditions. 3 If two fog lights are installed, the additional use of the position lights is","sufficient instead of the dipped headlights. 4 On motorcycles without a sidecar, only the",fog light needs to be used. 5 Rear fog lights may only be used if visibility is less than 50,meters due to fog.,(4) 1 Stationary vehicles outside built-up areas must be illuminated by their own light,"source. 2 Within built-up areas, it is sufficient to mark only the side of the vehicle facing",the roadway by means of parking lights or other approved means; Separate lighting is,unnecessary if street lighting makes the vehicle clearly visible from a sufficient,"distance. 3 Vehicles parked on the carriageway, with the exception of passenger cars,",with a maximum permissible mass of more than 3.5 tonnes and trailers must always be,illuminated with their own light source within built-up areas or be identified by other,"approved lighting devices. 4 Vehicles that can be easily removed from the carriageway,","such as motorcycles, bicycles with auxiliary motors, bicycles, wheelchairs, single-axle","tractors, single-axle trailers, hand-carts or unhitched vehicles, must not be left unlit in",the dark.,"(4a) 1 Where military vehicles deviate from the general lighting regulations, yellow-red",retroreflective warning signs or equivalent safety devices shall be used. 2 In all other,"cases, they may be used additionally on these vehicles.",(5) Anyone walking and carrying single-axle tractors or work machines on handlebars or,hand-carts shall be required to install or carry on their left side at least one lamp with a,white light that is clearly visible to the front and rear and does not dazzle.,(6) Searchlights may only be used briefly and may not be used to illuminate the,roadway.,18 Motorways and dual carriageways,(1) 1Motorways (sign 330.1 ) and dual carriageways (sign 331.1 ) may only be used by,"motor vehicles whose maximum design speed exceeds 60 km/h; If trailers are towed,",the same applies to them. 2 The vehicle and load together may not exceed 4 m in height,and 2.55 m in width. 3 Refrigerated vehicles may not exceed 2.60 m in width.,"(2) On motorways, entry may only be made at designated junctions (sign 330.1 ), and on",dual carriageways only at intersections or junctions.,,,,,15,road_traffic_rules.pdf
68dd20d6212869e0f7e30493,(3) Traffic on the continuous carriageway has the right of way.,(4) (deleted),"(5) 1 On motorways, the speed limit within built-up areas may exceed 50","km/h. 2 On them, as well as outside built-up areas on motorways with single-","carriageway lanes separated by central reservations or other structural features, the","maximum permissible speed, even under the most favourable conditions, is",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,road_traffic_rules.pdf
68dd20d6212869e0f7e30494,for,"a) Motor vehicles with a maximum permissible mass exceeding 3.5 t,","excluding passenger cars,","b) Passenger cars with trailers, trucks with trailers, mobile homes with",trailers and tractors with trailers as well as,c) Buses without trailer or with luggage trailer,"80 km/h,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,road_traffic_rules.pdf
68dd20d6212869e0f7e30495,for,"a) Motorcycles with trailers and self-propelled work machines with trailers,",b) Tractors with two trailers and,c) Buses with trailers or with passengers for whom there are no more seats,"available,","60 km/h,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,road_traffic_rules.pdf
68dd20d6212869e0f7e30496,"for buses without trailers, which",a) are approved for a maximum speed of 100 km/h according to entry in the,"registration certificate Part I,",b) are primarily built for the carriage of seated passengers and the,"passenger seats are designed as travel seating,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,road_traffic_rules.pdf
